No,Kategori,Sub-Kategori,Modul,MoSCoW,Priority
1,B2C Front-End,Company Profile,Modul Homepage Dinamis,Must Have,High
2,B2C Front-End,Company Profile,Modul Validasi Legalitas & About Us,Must Have,High
3,B2C Front-End,Company Profile,Modul Galeri & Social Proof,Should Have,Medium
4,B2C Front-End,Company Profile,Modul Blog & Artikel,Could Have,Low
5,B2C Front-End,Company Profile,Modul Brand Identity & White-labeling,Should Have,Medium
6,B2C Front-End,Company Profile,Modul Menu Builder & Navigation,Must Have,Medium
7,B2C Front-End,Product Catalog,Modul Smart Search & Filter,Must Have,High
8,B2C Front-End,Product Catalog,Modul Detail Produk & Itinerary Interaktif,Must Have,High
9,B2C Front-End,Product Catalog,Modul Ketersediaan Real-Time,Must Have,High
10,B2C Front-End,Product Catalog,Modul Kalkulator Simulasi Tabungan,Could Have,Low
11,B2C Front-End,Product Detail,Info Esensial & Seat Tracker,Must Have,High
12,B2C Front-End,Product Detail,Spesifikasi Akomodasi Cerdas,Should Have,Medium
13,B2C Front-End,Product Detail,Profil Pembimbing,Should Have,Medium
14,B2C Front-End,Product Detail,Micro-Web Itinerary,Should Have,Medium
15,B2C Front-End,Product Detail,Call-to-Action,Must Have,High
16,B2C Front-End,Self-Service Booking,Self-Booking Engine,Must Have,High
17,B2C Front-End,Self-Service Booking,Guest Data Form,Must Have,High
18,B2C Front-End,Self-Service Booking,Payment Gateway B2C,Must Have,High
19,B2C Front-End,Customer Portal,Riwayat Keuangan,Should Have,Medium
20,B2C Front-End,Customer Portal,Self-Upload Dokumen,Should Have,Medium
21,B2C Front-End,Customer Portal,Informasi Logistik & Perlengkapan,Could Have,Low
22,B2C Front-End,Customer Portal,Papan Informasi Keberangkatan,Should Have,Medium
23,B2C Front-End,Help & Support,Knowledge Base,Could Have,Low
24,B2C Front-End,Help & Support,Floating Chat,Should Have,Medium
25,B2B Front-End,Onboarding,Pendaftaran Keagenan Mandiri,Must Have,High
26,B2B Front-End,Onboarding,E-KYC & Verifikasi,Must Have,High
27,B2B Front-End,Onboarding,E-Signature,Should Have,Medium
28,B2B Front-End,Digital Sales Tools,Website Replika,Must Have,High
29,B2B Front-End,Digital Sales Tools,One-Click Social Sharing,Should Have,Medium
30,B2B Front-End,Digital Sales Tools,Kartu Nama Digital,Could Have,Low
31,B2B Front-End,Digital Sales Tools,Bank Konten,Should Have,Medium
32,B2B Front-End,Digital Sales Tools,Auto-Watermark Flyer & Share,Should Have,Medium
33,B2B Front-End,Digital Sales Tools,Galeri Dokumentasi per Program,Could Have,Low
34,B2B Front-End,Digital Sales Tools,Integrasi Tracking Code Mandiri,Could Have,Low
35,B2B Front-End,Lead Management,Leads Tracker,Must Have,High
36,B2B Front-End,Lead Management,Reminder & Follow-up Tagging,Should Have,Medium
37,B2B Front-End,Dompet Komisi,Saldo & Status Komisi,Must Have,High
38,B2B Front-End,Dompet Komisi,Notifikasi Real-Time,Should Have,Medium
39,B2B Front-End,Dompet Komisi,Riwayat Transaksi & Pencairan,Must Have,High
40,B2B Front-End,Academy & Gamification,LMS,Should Have,Medium
41,B2B Front-End,Academy & Gamification,Kuis & Lencana,Could Have,Low
42,B2B Front-End,Academy & Gamification,Script Jualan,Should Have,Medium
43,B2B Front-End,Academy & Gamification,Papan Peringkat,Could Have,Low
44,B2B Front-End,Academy & Gamification,Push Notification,Should Have,Medium
45,B2B Front-End,Khusus Level Perwakilan/Cabang,Dashboard Super-View,Must Have,High
46,B2B Front-End,Khusus Level Perwakilan/Cabang,Leveling Otomatis,Should Have,Medium
47,B2B Front-End,Khusus Level Perwakilan/Cabang,Overriding Commission,Must Have,High
48,Marketing & Sales,Digital Marketing,Ads Manager Lite,Should Have,Medium
49,Marketing & Sales,Digital Marketing,Manajemen UTM & Atribusi Kampanye,Should Have,Medium
50,Marketing & Sales,Digital Marketing,Landing Page Builder & A/B Testing,Should Have,Medium
51,Marketing & Sales,Digital Marketing,Content Planner & Calendar,Could Have,Low
52,Marketing & Sales,Digital Marketing,Content Publisher & Scheduler,Could Have,Low
53,Marketing & Sales,Digital Marketing,Omni-Channel Distribution,Could Have,Low
54,Marketing & Sales,Digital Marketing,Social Media & Content Analytics,Could Have,Low
55,Marketing & Sales,Perawatan Prospek,Bot Filter & Auto-Classification,Should Have,Medium
56,Marketing & Sales,Perawatan Prospek,Pesan Berantai,Should Have,Medium
57,Marketing & Sales,Perawatan Prospek,Pemicu Momen,Could Have,Low
