No,Kategori,Sub-Kategori,Nama Modul,Deskripsi Modul
1,B2C,Front-End Company Profile,Modul Homepage Dinamis,"Halaman utama yang menampilkan hero banner, promo unggulan (flash sale), serta fitur pencarian cepat paket keberangkatan."
2,B2C,Front-End Company Profile,Modul Validasi Legalitas & About Us,"Halaman profil perusahaan, sejarah, manajemen, serta integrasi NIB dan izin Kemenag (PPIU/PIHK) untuk membangun kepercayaan."
3,B2C,Front-End Company Profile,Modul Galeri & Social Proof,"Etalase digital untuk dokumentasi foto/video keberangkatan, suasana ibadah, dan testimoni jamaah sebelumnya."
4,B2C,Front-End Company Profile,Modul Blog & Artikel,"Pusat literatur artikel SEO-friendly seputar fiqh Umroh/Haji, tips persiapan, panduan cuaca, dan doa perjalanan."
5,B2C,Front-End Company Profile,Modul Brand Identity & White-labeling,"Panel pengaturan visual untuk mengubah logo, favicon, dan palet warna antarmuka agar selaras dengan branding travel."
6,B2C,Front-End Company Profile,Modul Menu Builder & Navigation,Alat bantu drag-and-drop untuk mengatur tata letak menu utama (header) dan bagian bawah website (footer) tanpa coding.
7,B2C,Front-End Product Catalog,Modul Smart Search & Filter,"Mesin pencarian paket berdasarkan bulan, harga, pembimbing, kelas hotel, atau tipe maskapai (Direct/Transit)."
8,B2C,Front-End Product Catalog,Modul Detail Produk & Itinerary Interaktif,"Halaman paket yang memuat fasilitas, opsi add-on, dan rincian jadwal kegiatan harian yang interaktif."
9,B2C,Front-End Product Catalog,Modul Ketersediaan Real-Time,Label otomatis yang tersinkronisasi dengan back-end untuk menampilkan sisa kursi secara langsung (Seat Tracker).
10,B2C,Front-End Product Catalog,Modul Kalkulator Simulasi Tabungan,Alat bantu interaktif untuk menghitung estimasi setoran bulanan berdasarkan target bulan keberangkatan.
11,B2C,Front-End Product Detail,Modul Info Esensial & Seat Tracker,"Menampilkan nama paket, tanggal, harga, dan peringatan sisa kursi (Seat Inventory) secara real-time."
12,B2C,Front-End Product Detail,Modul Spesifikasi Akomodasi Cerdas,"Detail maskapai dan hotel dari database, lengkap dengan jarak ke masjid, foto kamar, dan tur video 360 derajat."
13,B2C,Front-End Product Detail,Modul Profil Pembimbing,Informasi sosok Muthawwif atau Ustadz pembimbing beserta riwayat pendidikan dan cuplikan video ceramah.
14,B2C,Front-End Product Detail,Modul Micro-Web Itinerary,"Jadwal harian interaktif yang dilengkapi panduan lokasi dan foto destinasi, bukan sekadar format PDF."
15,B2C,Front-End Product Detail,Modul Call-to-Action,Tombol tindakan cepat untuk pendaftaran mandiri (Book Now) atau konsultasi via WhatsApp ke Customer Service.
16,B2C,Front-End Self-Service Booking,Modul Self-Booking Engine,"Alur pemesanan mandiri untuk memilih paket, jumlah peserta, dan konfigurasi kamar (Double/Triple/Quad)."
17,B2C,Front-End Self-Service Booking,Modul Guest Data Form,"Formulir online untuk pengisian data awal pemesan seperti nama, email, WhatsApp, dan domisili."
18,B2C,Front-End Self-Service Booking,Modul Payment Gateway B2C,"Integrasi pembayaran untuk menghasilkan Virtual Account (VA), QRIS, atau Kartu Kredit untuk pembayaran DP."
19,B2C,Front-End Customer Portal,Modul Riwayat Keuangan,"Ringkasan biaya paket, jumlah terbayar, sisa tagihan, tenggat waktu, dan fitur unduh e-kwitansi."
20,B2C,Front-End Customer Portal,Modul Self-Upload Dokumen,"Formulir digital untuk mengunggah dokumen syarat (KTP, Paspor, dll) secara mandiri dengan keamanan berlapis."
21,B2C,Front-End Customer Portal,Modul Informasi Logistik & Perlengkapan,Pemantauan status perlengkapan seperti persiapan koper atau pengiriman via ekspedisi beserta nomor resi.
22,B2C,Front-End Customer Portal,Modul Papan Informasi Keberangkatan,"Menampilkan boarding pass digital, kontak Tour Leader, nomor bus, dan informasi titik kumpul bandara."
23,B2C,Front-End Help & Support,Modul Knowledge Base,"Direktori pintar berisi FAQ seputar kebijakan refund, pembatalan, syarat mahram, dan teknis lainnya."
24,B2C,Front-End Help & Support,Modul Floating Chat,Tombol obrolan melayang yang menghubungkan jamaah langsung ke antrean Customer Service sistem pusat.
25,B2B,Front-End (Cabang & Agen) Onboarding,Modul Pendaftaran Keagenan Mandiri,"Formulir pendaftaran online agen, pemilihan paket kemitraan, dan persetujuan MoU digital."
